fecha,prov,sumprov,checkpoint,sfcap,sumsfcap,gsfotros,sumgsfcap,obs,incluir total provincia y total pais,
2020-03-24,,,,,,,,,,
2020-03-25,,,,,,,,,,
2020-03-26,,,,,,,,,,
2020-03-27,,,,,,,,,,
2020-03-28,,,,,,,,,,
2020-03-29,,,,,,,,,,
2020-03-30,,,,,,,,,,
2020-03-31,,,,,,,,,,
2020-04-01,1,1,,,0,,0,,,
2020-04-02,,1,,,0,,0,,,
2020-04-03,,1,,,0,,0,,,
2020-04-04,,1,,,0,,0,,,
2020-04-05,,1,,,0,,0,,,
2020-04-06,,1,,,0,,0,,,
2020-04-07,,1,,,0,,0,,,
2020-04-08,,1,,,0,,0,,,
2020-04-09,1,2,,,0,,0,,,
2020-04-10,,2,,,0,,0,,,
2020-04-11,,2,,,0,,0,,,
2020-04-12,,2,,,0,,0,,,
2020-04-13,,2,,,0,,0,,,
2020-04-14,,2,,,0,,0,,,
2020-04-15,,2,,,0,,0,,,
2020-04-16,,2,,,0,,0,,,
2020-04-17,,2,,,0,,0,,,
2020-04-18,,2,,,0,,0,,,
2020-04-19,,2,,,0,,0,,,
2020-04-20,,2,,,0,,0,,,
2020-04-21,,2,,,0,,0,,,
2020-04-22,,2,,,0,,0,,,
2020-04-23,,2,,,0,,0,,,
2020-04-24,,2,,,0,,0,,,
2020-04-25,,2,,,0,,0,,,
2020-04-26,,2,,,0,,0,,,
2020-04-27,,2,,,0,,0,,,
2020-04-28,,2,,,0,,0,,,
2020-04-29,,2,,,0,,0,,,
2020-04-30,,2,,,0,,0,,,
2020-05-01,,2,,,0,,0,,,
2020-05-02,,2,,,0,,0,,,
2020-05-03,,2,,,0,,0,,,
2020-05-04,,2,,,0,,0,,,
2020-05-05,,2,,,0,,0,,,
2020-05-06,,2,,,0,,0,,,
2020-05-07,1,3,,,0,,0,,,
2020-05-08,,3,,,0,,0,,,
2020-05-09,,3,,,0,,0,,,
2020-05-10,,3,,,0,,0,,,
2020-05-11,,3,,,0,,0,,,
2020-05-12,,3,,,0,,0,,,
2020-05-13,,3,,,0,,0,,,
2020-05-14,,3,,,0,,0,,,
2020-05-15,,3,,,0,,0,,,
2020-05-16,,3,,,0,,0,,,
2020-05-17,,3,,,0,,0,,,
2020-05-18,,3,,,0,,0,,,
2020-05-19,,3,,,0,,0,,,
2020-05-20,,3,,,0,,0,,,
2020-05-21,,3,,,0,,0,,,
2020-05-22,,3,,,0,,0,,,
2020-05-23,,3,,,0,,0,,,
2020-05-24,,3,,,0,,0,,,
2020-05-25,,3,,,0,,0,,,
2020-05-26,,3,,,0,,0,,,
2020-05-27,,3,,,0,,0,,,
2020-05-28,,3,,,0,,0,,,
2020-05-29,,3,,,0,,0,,,
2020-05-30,,3,,,0,,0,,,
2020-05-31,,3,,,0,,0,,,
2020-06-01,,3,,,0,,0,,,
2020-06-02,,3,3,,0,,0,,,
2020-06-03,,3,,,0,,0,,,
2020-06-04,,3,,,0,,0,,,
2020-06-05,,3,,,0,,0,,,
2020-06-06,,3,,,0,,0,,,
2020-06-07,,3,,,0,,0,,,
2020-06-08,,3,,,0,,0,,,
2020-06-09,,3,,,0,,0,,,
2020-06-10,,3,,,0,,0,,,
2020-06-11,,3,,,0,,0,,,
2020-06-12,,3,,,0,,0,,,
2020-06-13,,3,,,0,,0,,,
2020-06-14,,3,,,0,,0,,,
2020-06-15,1,4,,,0,,0,,,
2020-06-16,,4,,,0,,0,,,
2020-06-17,,4,,,0,,0,,,
2020-06-18,,4,,,0,,0,,,
2020-06-19,,4,,,0,,0,,,
2020-06-20,,4,,,0,,0,,,
2020-06-21,,4,,,0,,0,,,
2020-06-22,,4,,,0,,0,,,
2020-06-23,,4,,,0,,0,,,
2020-06-24,,4,,,0,,0,,,
2020-06-25,,4,,,0,,0,,,
2020-06-26,,4,,,0,,0,,,
2020-06-27,,4,,,0,,0,,,
2020-06-28,,4,,,0,,0,,,
2020-06-29,,4,,,0,,0,,,
2020-06-30,,4,,,0,,0,,,
2020-07-01,,4,4,,0,,0,,,
2020-07-02,,4,,,0,,0,,,
2020-07-03,1,5,5,,0,,0,,,
2020-07-04,1,6,6,,0,,0,,,
2020-07-05,,6,,,0,,0,,,
2020-07-06,,6,,,0,,0,,,
2020-07-07,,6,,,0,,0,,,
2020-07-08,1,7,7,,0,,0,,,
2020-07-09,,7,7,,0,,0,,,
2020-07-10,,7,7,,0,,0,,,
2020-07-11,,7,7,,0,,0,,,
2020-07-12,,7,7,,0,,0,,,
2020-07-13,,7,7,,0,,0,,,
2020-07-14,,7,7,,0,,0,,,
2020-07-15,1,8,8,,0,,0,,,
2020-07-16,,8,,,0,,0,,,
2020-07-17,1,9,9,,0,,0,,,
2020-07-18,,9,,,0,,0,,,
2020-07-19,,9,,,0,,0,,,
2020-07-20,,9,,,0,,0,,,
2020-07-21,2,11,,,0,,0,,,
2020-07-22,,11,,,0,,0,,,
2020-07-23,,11,,,0,,0,,,
2020-07-24,,11,,,0,,0,,,
2020-07-25,,11,,,0,,0,,,
2020-07-26,1,12,12,,0,,0,informa por dia anterior,,
2020-07-27,1,13,13,,0,,0,,,
2020-07-28,,13,,,0,,0,,,
2020-07-29,2,15,,,0,,0,otro informe del 31 agrega 1 mas del 29,,
2020-07-30,,15,,,0,,0,,,
2020-07-31,1,16,16,,0,,0,,,
2020-08-01,,16,16,,0,,0,,,
2020-08-02,,16,,,0,,0,,,
2020-08-03,,16,,,0,,0,,,
2020-08-04,2,18,18,,0,,0,2 reportes 1+1,,
2020-08-05,,18,,,0,,0,,,
2020-08-06,3,21,,,0,,0,,,
2020-08-07,,21,,,0,,0,,,
2020-08-08,1,22,22,,0,,0,,,
2020-08-09,1,23,23,,0,,0,,,
2020-08-10,1,24,24,,0,,0,,,
2020-08-11,2,26,26,,0,,0,2 reportes 1+1,,
2020-08-12,,26,,,0,,0,,,
2020-08-13,3,29,29,,0,,0,,,
2020-08-14,,29,,,0,,0,,,
2020-08-15,1,30,30,,0,,0,,,
2020-08-16,2,32,,,0,1,1,1 recreo,,
2020-08-17,,32,,,0,,1,,,
2020-08-18,2,34,34,,0,,1,,,
2020-08-19,2,36,,,0,,1,,,
2020-08-20,5,41,,,0,1,2,santo tome,2 reportes 4+1,6
2020-08-21,7,48,48,1,1,1,4,santo tome,"2 reportes 1+6, el de 6 con fecha 20 pero adentro dice 21",
2020-08-22,3,51,,,1,,4,,,
2020-08-23,2,53,,,1,2,6,santo tome,fe de erratas,
2020-08-24,5,58,58,,1,,6,,,
2020-08-25,5,63,,,1,1,7,monte vera,,
2020-08-26,4,67,,,1,1,8,santo tome,,
2020-08-27,4,71,,1,2,,9,,,
2020-08-28,3,74,74,,2,,9,,,
2020-08-29,,74,74,,2,,9,,,
2020-08-30,3,77,77,,2,,9,,,
2020-08-31,10,87,85,,2,1,10,santo tome,2 reportes 9+1,total 87 en el 2do reporte
2020-09-01,5,92,92,,2,,10,,,
2020-09-02,5,97,97,,2,,10,,,
2020-09-03,9,106,106,,2,1,11,santo tome,,
2020-09-04,6,112,,,2,,11,,,
2020-09-05,4,116,116,,2,,11,,,
2020-09-06,11,127,,1,3,,12,,,
2020-09-07,11,138,138,,3,,12,,,
2020-09-08,6,144,,,3,1,13,santo tome,,
2020-09-09,9,153,153,1,4,1,15,santo tome,,
2020-09-10,19,172,,,4,2,17,santo tome + sauce viejo,,
2020-09-11,10,182,182,1,5,1,19,santo tome,,
2020-09-12,8,190,190,,5,,19,,,
2020-09-13,2,192,,,5,,19,,,
2020-09-14,16,208,,3,8,,22,,,
2020-09-15,7,215,215,1,9,,23,,,
2020-09-16,15,230,,,9,1,24,esperanza,,
2020-09-17,14,244,244,2,11,,26,,,
2020-09-18,10,254,,2,13,,28,,-1 de informes anteriores porque era de otro lado,
2020-09-19,4,258,,,13,,28,,,
2020-09-20,5,263,,,13,,28,,,
2020-09-21,27,290,,,13,1,29,santo tome,,
2020-09-22,8,298,,,13,,29,,,
2020-09-23,16,314,,2,15,2,33,santo tome + recreo,,
2020-09-24,19,333,,1,16,,34,,,
2020-09-25,24,357,,,16,,34,,,
2020-09-26,15,372,,1,17,,35,,,
2020-09-27,13,385,,,17,,35,,,
2020-09-28,26,411,411,,17,,35,,,
2020-09-29,13,424,,,17,,35,,,
2020-09-30,9,433,,2,19,,37,,,
2020-10-01,20,453,453,3,22,,40,,,
2020-10-02,23,476,,6,28,1,47,santo tome,,
2020-10-03,16,492,,,28,,47,,,
2020-10-04,16,508,,,28,,47,,,
2020-10-05,29,537,,4,32,1,52,recreo,,
2020-10-06,16,553,,,32,,52,,,
2020-10-07,17,570,,2,34,,54,,,
2020-10-08,28,598,,2,36,,56,,,
2020-10-09,21,619,,6,42,,62,,,
2020-10-10,16,635,635,,42,,62,,,
2020-10-11,10,645,,,42,,62,,,
2020-10-12,4,649,,,42,,62,,,
2020-10-13,25,674,,,42,3,65,santo tome,,
2020-10-14,40,714,,7,49,,72,,,
2020-10-15,42,756,,,49,,72,,,
2020-10-16,25,781,,,49,1,73,santo tome,,
2020-10-17,27,808,,,49,,73,,,
2020-10-18,1,809,,,49,,73,,,
2020-10-19,27,836,,,49,,73,,,
2020-10-20,65,901,,3,52,1,77,recreo,,
2020-10-21,33,934,,2,54,1,80,santo tome,,
2020-10-22,36,970,970,,54,,80,,,
2020-10-23,25,995,,2,56,,82,,,
2020-10-24,15,1010,,,56,,82,,,
2020-10-25,6,1016,,,56,,82,,,
2020-10-26,36,1052,,1,57,,83,,,
2020-10-27,28,1080,,9,66,1,93,recreo,,
2020-10-28,47,1127,,6,72,,99,,,
2020-10-29,69,1196,,10,82,,109,,,
2020-10-30,49,1245,1245,10,92,1,120,monte vera,,
2020-10-31,16,1261,,,92,,120,,,
2020-11-01,16,1277,1277,,92,,120,,,
2020-11-02,75,1352,,5,97,,125,,,
2020-11-03,85,1437,,17,114,,142,,,
2020-11-04,55,1492,,3,117,,145,,,
2020-11-05,19,1511,,1,118,,146,,,
2020-11-06,51,1562,,4,122,1,151,monte vera,,
2020-11-07,26,1588,,,122,,151,,,
2020-11-08,37,1625,,5,127,,156,,,
2020-11-09,60,1685,,,127,1,157,santo tome,,
2020-11-10,44,1729,,7,134,1,165,recreo,,
2020-11-11,47,1776,,6,140,,171,,,
2020-11-12,32,1808,1808,1,141,,172,,,
2020-11-13,8,1816,,,141,,172,,,
2020-11-14,12,1828,,8,149,,180,,,
2020-11-15,9,1837,,1,150,,181,,,
2020-11-16,33,1870,,6,156,,187,,-1 reporte siguiente dice que no era de Santa Fe,
2020-11-17,30,1900,,4,160,1,192,monte vera,,
2020-11-18,22,1922,,7,167,,199,,,
2020-11-19,34,1956,,4,171,,203,,,
2020-11-20,17,1973,,1,172,,204,,,
2020-11-21,21,1994,1994,,172,,204,,,
2020-11-22,31,2025,,,172,,204,,,
2020-11-23,23,2048,,2,174,,206,,-1 reporte siguiente dice que no era de Santa Fe,
2020-11-24,31,2079,,5,179,,211,,,
2020-11-25,32,2111,,2,181,,213,,,
2020-11-26,25,2136,,2,183,,215,,,
2020-11-27,22,2158,,2,185,,217,,,
2020-11-28,10,2168,,,185,,217,,,
2020-11-29,18,2186,,,185,,217,,,
2020-11-30,44,2230,,9,194,1,227,recreo,,
2020-12-01,9,2239,,,194,,227,,,
2020-12-02,40,2279,,4,198,,231,,,
2020-12-03,36,2315,,1,199,,232,,-1 reporte siguiente dice que no era de Santa Fe,
2020-12-04,14,2329,,,199,,232,,,
2020-12-05,24,2353,,3,202,1,236,recreo,,
2020-12-06,4,2357,,,202,,236,,,
2020-12-07,14,2371,,1,203,,237,,,
2020-12-08,21,2392,,,203,,237,,,
2020-12-09,37,2429,,,203,,237,,,
2020-12-10,34,2463,,5,208,1,243,monte vera,,
2020-12-11,19,2482,,1,209,1,245,rincon,,
2020-12-12,2,2484,,,209,,245,,,
2020-12-13,9,2493,,4,213,2,251,rincon + santo tome,,
2020-12-14,29,2522,,,213,,251,,,
2020-12-15,26,2548,,1,214,,252,,,
2020-12-16,42,2590,,7,221,1,260,monte vera,,
2020-12-17,32,2622,,1,222,,261,,,
2020-12-18,24,2646,,2,224,1,264,sauce viejo,,
2020-12-19,14,2660,,,224,,264,,,
2020-12-20,16,2676,,1,225,,265,,,
2020-12-21,34,2710,,4,229,,269,,,
2020-12-22,37,2747,,7,236,1,277,recreo,,
2020-12-23,8,2755,,1,237,,278,,,
2020-12-24,13,2768,2768,,237,,278,,,
2020-12-25,,2768,,,237,,278,,0 el 25/12,
2020-12-26,17,2785,,4,241,1,283,recreo,,
2020-12-27,16,2801,,4,245,,287,,,
2020-12-28,55,2856,,8,253,,295,,,
2020-12-29,17,2873,,2,255,,297,,,
2020-12-30,25,2898,,2,257,,299,,,
2020-12-31,6,2904,,,257,,299,,,
2021-01-01,,2918,,,257,,299,,0 el 01/21,
2021-01-02,14,2926,,7,264,,306,,,
2021-01-03,8,2926,,,264,,306,,,
2021-01-04,30,2956,,9,273,,315,,,
2021-01-05,42,2998,,5,278,,320,,,
2021-01-06,18,3016,,5,283,2,327,santo tome + sauce viejo,,
2021-01-07,12,3028,,1,284,,328,,,
2021-01-08,11,3039,,4,288,,332,,,
2021-01-09,2,3041,,,288,,332,,,
2021-01-10,4,3045,,,288,,332,,,
2021-01-11,10,3055,,1,289,,333,,,
2021-01-12,13,3068,,1,290,1,335,sauce viejo,,
2021-01-13,18,3086,,2,292,,337,,,
2021-01-14,17,3103,,,292,,337,,,
2021-01-15,12,3115,,7,299,,344,,,
2021-01-16,12,3127,,,299,,344,,,
2021-01-17,7,3134,,,299,,344,,,
2021-01-18,35,3169,,10,309,,354,,,
2021-01-19,46,3215,,5,314,,359,,,
2021-01-20,12,3227,,,314,,359,,-1 reporte siguiente dice que no era de Santa Fe,
2021-01-21,12,3239,,1,315,,360,,,
2021-01-22,17,3256,,1,316,,361,,,
2021-01-23,6,3262,3262,,316,,361,,,
2021-01-24,,3262,,,316,,361,,,
2021-01-25,,3262,,,316,,361,,,
2021-01-26,,3262,,,316,,361,,,
2021-01-27,,3262,,,316,,361,,,
2021-01-28,,3262,,,316,,361,,,
2021-01-29,,3262,,,316,,361,,,
2021-01-30,,3262,,,316,,361,,,
2021-01-31,,3262,,,316,,361,,,
2021-02-01,,3262,,,316,,361,,,
2021-02-02,,3262,,,316,,361,,,
2021-02-03,,3262,,,316,,361,,,
2021-02-04,,3262,,,316,,361,,,
2021-02-05,,3262,,,316,,361,,,
2021-02-06,,3262,,,316,,361,,,
2021-02-07,,3262,,,316,,361,,,
2021-02-08,,3262,,,316,,361,,,
2021-02-09,,3262,,,316,,361,,,
2021-02-10,,3262,,,316,,361,,,
2021-02-11,,3262,,,316,,361,,,
2021-02-12,,3262,,,316,,361,,,
2021-02-13,,3262,,,316,,361,,,
2021-02-14,,3262,,,316,,361,,,
2021-02-15,,3262,,,316,,361,,,
2021-02-16,,3262,,,316,,361,,,
2021-02-17,,3262,,,316,,361,,,
2021-02-18,,3262,,,316,,361,,,
2021-02-19,,3262,,,316,,361,,,
2021-02-20,,3262,,,316,,361,,,
2021-02-21,,3262,,,316,,361,,,
2021-02-22,,3262,,,316,,361,,,
2021-02-23,,3262,,,316,,361,,,
2021-02-24,,3262,,,316,,361,,,
2021-02-25,,3262,,,316,,361,,,
2021-02-26,,3262,,,316,,361,,,
2021-02-27,,3262,,,316,,361,,,
2021-02-28,,3262,,,316,,361,,,
2021-03-01,,3262,,,316,,361,,,
2021-03-02,,3262,,,316,,361,,,
2021-03-03,,3262,,,316,,361,,,
2021-03-04,,3262,,,316,,361,,,
2021-03-05,,3262,,,316,,361,,,
2021-03-06,,3262,,,316,,361,,,
2021-03-07,,3262,,,316,,361,,,
2021-03-08,,3262,,,316,,361,,,
2021-03-09,,3262,,,316,,361,,,
2021-03-10,,3262,,,316,,361,,,
2021-03-11,,3262,,,316,,361,,,
2021-03-12,,3262,,,316,,361,,,
2021-03-13,,3262,,,316,,361,,,
2021-03-14,,3262,,,316,,361,,,
2021-03-15,,3262,,,316,,361,,,
2021-03-16,,3262,,,316,,361,,,
2021-03-17,,3262,,,316,,361,,,
2021-03-18,,3262,,,316,,361,,,
2021-03-19,,3262,,,316,,361,,,
2021-03-20,,3262,,,316,,361,,,
2021-03-21,,3262,,,316,,361,,,
2021-03-22,,3262,,,316,,361,,,
2021-03-23,,3262,,,316,,361,,,
2021-03-24,,3262,,,316,,361,,,
2021-03-25,,3262,,,316,,361,,,
2021-03-26,,3262,,,316,,361,,,
2021-03-27,,3262,,,316,,361,,,
2021-03-28,,3262,,,316,,361,,,
2021-03-29,,3262,,,316,,361,,,
2021-03-30,,3262,,,316,,361,,,
2021-03-31,,3262,,,316,,361,,,